=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.12.04 14:23:28 =~=~=~=~=~=~=~=~=~=~=~=
Millis: 54962, Voltage 1: 2.67V, Voltage 2: 1.30V
Millis: 55027, Voltage 1: 2.85V, Voltage 2: 1.29V
Millis: 55077, Voltage 1: 2.46V, Voltage 2: 1.26V
Millis: 55135, Voltage 1: 2.45V, Voltage 2: 1.24V
Millis: 55192, Voltage 1: 2.34V, Voltage 2: 1.24V
Millis: 55261, Voltage 1: 2.31V, Voltage 2: 1.24V
Millis: 55327, Voltage 1: 2.53V, Voltage 2: 1.26V
Millis: 55407, Voltage 1: 2.21V, Voltage 2: 1.23V
Millis: 55456, Voltage 1: 3.91V, Voltage 2: 1.22V
Millis: 55511, Voltage 1: 2.39V, Voltage 2: 1.25V
Millis: 55563, Voltage 1: 2.61V, Voltage 2: 1.28V
Millis: 55631, Voltage 1: 2.72V, Voltage 2: 1.30V
Millis: 55673, Voltage 1: 2.51V, Voltage 2: 1.27V
Millis: 55722, Voltage 1: 2.40V, Voltage 2: 1.23V
